Nazwa szkoły/ jednostki,Typ placówki,Dzielnica,Adres,Telefon,WWW,E-mail
LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,liceum ogólnokształcące,Bemowo,ul. Anieli Krzywoń 3,226644049,www.pawlikowska.edu.pl,sekretariat.lo78@eduwarszawa.pl
CLXV Liceum Ogólnokształcące,liceum ogólnokształcące,Białołęka,ul. Ostródzka 175,227416045,liceum165.edu.pl,sekretariat.lo165@eduwarszawa.pl
CV Liceum Ogólnokształcące im. Zbigniewa Herberta,liceum ogólnokształcące,Białołęka,ul. Vincenta van Gogha 1,228844380,www.cvlo.waw.pl,lo105@eduwarszawa.pl
CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,liceum ogólnokształcące,Bielany,ul. Leopolda Staffa 3/5,228640891,domeyko.edu.pl,lo122@eduwarszawa.pl
XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,liceum ogólnokształcące,Bielany,ul. Gwiaździsta 35,228330258,www.maczek.waw.pl,sekretariat@maczek.waw.pl
LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,liceum ogólnokształcące,Bielany,ul. Samuela Bogumiła Lindego 20,228348658,kusy.edupage.org,kusy.lo59@eduwarszawa.pl
XLI Liceum Ogólnokształcące im. Joachima Lelewela,liceum ogólnokształcące,Bielany,ul. Kiwerska 3,228331333,lelewel.waw.pl,sekretariat.lo41@eduwarszawa.pl
XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,liceum ogólnokształcące,Bielany,ul. Bogumiła Zuga 16,228346033,lo39.pl,sekretariat.lo39@eduwarszawa.pl
XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí,liceum ogólnokształcące,Bielany,ul. Leopolda Staffa 111,228340357,www.josemarti.pl,sekretariat.lo22@eduwarszawa.pl
CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego,liceum ogólnokształcące,Mokotów,ul. Chełmska 23,228411643,lo-164.edupage.org,lo164@eduwarszawa.pl
"CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""",liceum ogólnokształcące,Mokotów,ul. Podchorążych 49/61,228417161,lo156.pl,lo156@eduwarszawa.pl
CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,liceum ogólnokształcące,Mokotów,ul. Wojciecha Żywnego 25,226202506,www.liceumtwarda.edu.pl,lo155@eduwarszawa.pl
LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,liceum ogólnokształcące,Mokotów,ul. Ludwika Narbutta 31,226465276,www.68lo.edu.pl,lo68@eduwarszawa.pl
LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,liceum ogólnokształcące,Mokotów,ul. Marynarska 2/6,228433713,www.bem.waw.pl,lo65@eduwarszawa.pl
XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,liceum ogólnokształcące,Mokotów,ul. Fryderyka Joliot-Curie 14,228441321,www.lo49.pol.pl,lo49@eduwarszawa.pl
XLIV Liceum Ogólnokształcące im. Stefana Banacha,liceum ogólnokształcące,Mokotów,ul. Dolna 6,228403648,www.lo44.edu.pl,lo44@eduwarszawa.pl
XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,liceum ogólnokształcące,Mokotów,Aleja Niepodległości 27,228440085,www.lo43.edu.pl,lo43@eduwarszawa.pl
XLII Liceum Ogólnokształcące im. Marii Konopnickiej,liceum ogólnokształcące,Mokotów,ul. Antoniego Józefa Madalińskiego 22,228496964,www.lokonopnicka.edupage.org,LO42@eduwarszawa.pl
XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,liceum ogólnokształcące,Mokotów,ul. Zakrzewska 24A,228410693,www.cervantes.edu.pl,lo34@eduwarszawa.pl
XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,liceum ogólnokształcące,Mokotów,ul. Wiktorska 99,228442921,kochanowski.waw.pl,lo28@eduwarszawa.pl
X Liceum Ogólnokształcące im. Królowej Jadwigi,liceum ogólnokształcące,Mokotów,ul. Jana Pawła Woronicza 8,228540910,www.krolowka.pl,lo10@eduwarszawa.pl
VI Liceum Ogólnokształcące im. Tadeusza Reytana,liceum ogólnokształcące,Mokotów,ul. Wiktorska 30/32,228441368,www.reytan.edu.pl,lo6@eduwarszawa.pl
